"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Edit course",""
"broken","Fri Jun 20 15:37:52 GMT 2025","Fri Jun 20 15:37:52 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:52 GMT 2025","Fri Jun 20 15:37:52 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Edit course",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Edit course",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Fri Jun 20 15:37:54 GMT 2025","Fri Jun 20 15:37:54 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Fri Jun 20 15:37:55 GMT 2025","Fri Jun 20 15:37:55 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Fri Jun 20 15:37:53 GMT 2025","Fri Jun 20 15:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
